date,mediacount,username,month,year
2019-04-01,1844,witneycarson,4,2019
2019-03-01,1833,witneycarson,3,2019
2019-02-01,1824,witneycarson,2,2019
2019-01-01,1812,witneycarson,1,2019
2022-12-01,4251,myaplanet9,12,2022
2022-11-01,4248,myaplanet9,11,2022
2022-10-01,4242,myaplanet9,10,2022
2022-09-01,4243,myaplanet9,9,2022
2022-08-01,4224,myaplanet9,8,2022
2022-07-01,4213,myaplanet9,7,2022
2022-06-01,4198,myaplanet9,6,2022
2022-05-01,4186,myaplanet9,5,2022
2022-04-01,4170,myaplanet9,4,2022
2022-03-01,4158,myaplanet9,3,2022
2022-02-01,4148,myaplanet9,2,2022
2022-01-01,4146,myaplanet9,1,2022
2021-12-01,4125,myaplanet9,12,2021
2021-11-01,4115,myaplanet9,11,2021
2021-10-01,4097,myaplanet9,10,2021
2021-09-02,4083,myaplanet9,9,2021
